Time,CPU,Memory,Temperature,Power
553,309.70%,1766,48.7,  4.90 W   
554,226.50%,1769,48.7,  3.54 W   
555,217.90%,1767,48.2,  3.45 W   
556,228.20%,1770,49.1,  3.57 W   
557,261.60%,1767,48.7,  4.09 W   
558,224.30%,1802,49.1,  3.51 W   
559,306.50%,1766,48.2,  4.87 W   
560,256.50%,1800,49.1,  4.04 W   
561,234.90%,1769,48.7,  3.75 W   
562,288.90%,1785,48.2,  4.55 W   
563,260.90%,1767,48.2,  4.13 W   
564,236.30%,1780,49.6,  3.75 W   
565,235.80%,1769,48.7,  3.69 W   
566,337.90%,2061,49.1,  5.32 W   
567,326.30%,2091,50.6,  5.15 W   
568,269.50%,2387,48.7,  4.21 W   
569,232.90%,2425,49.6,  3.67 W   
570,245.90%,2709,49.1,  3.88 W   
571,313.10%,2739,49.6,  4.91 W   
572,246.20%,3041,49.1,  3.86 W   
573,289.20%,3063,49.1,  4.61 W   
574,300.10%,3361,50.1,  4.73 W   
575,220.00%,3384,50.1,  3.50 W   
576,226.50%,3682,48.7,  3.66 W   
577,342.20%,3714,49.1,  5.37 W   
578,226.00%,4018,48.7,  3.54 W   
579,302.50%,4050,49.1,  4.74 W   
580,189.70%,4356,50.6,  2.99 W   
581,257.80%,4377,48.7,  4.11 W   
582,261.20%,4688,50.1,  4.17 W   
583,255.50%,4712,49.1,  4.03 W   
584,186.70%,5001,49.6,  3.00 W   
585,195.10%,5037,49.6,  3.09 W   
586,272.10%,5340,50.1,  4.26 W   
587,232.10%,1766,50.1,  3.73 W   
588,394.40%,1769,49.6,  6.17 W   
589,391.90%,1771,50.1,  6.14 W   
590,192.80%,1772,50.6,  3.05 W   
591,197.60%,1770,49.6,  3.09 W   
592,208.80%,1768,49.6,  3.32 W   
593,317.00%,1770,49.1,  4.99 W   
594,346.80%,1768,49.6,  5.47 W   
595,227.40%,1768,50.1,  3.55 W   
596,262.80%,1769,50.6,  4.20 W   
597,218.80%,1767,49.1,  3.52 W   
598,315.80%,1768,49.6,  5.00 W   
599,275.20%,1768,50.6,  4.33 W   
600,261.00%,1770,50.6,  4.10 W   
601,268.80%,1767,50.6,  4.23 W   
602,264.40%,1770,48.7,  4.18 W   
603,284.10%,1769,50.1,  4.46 W   
604,196.10%,1770,49.6,  3.12 W   
605,245.30%,1770,49.1,  3.86 W   
606,291.60%,1993,49.6,  4.63 W   
607,233.10%,2032,50.6,  3.69 W   
608,333.20%,2325,50.1,  5.25 W   
609,259.30%,2362,49.6,  4.07 W   
610,153.00%,2693,50.6,  2.39 W   
611,301.50%,2733,50.6,  4.73 W   
612,180.00%,3068,50.6,  2.83 W   
613,205.80%,3115,50.1,  3.23 W   
614,325.50%,3405,49.6,  5.15 W   
615,333.00%,3446,50.6,  5.28 W   
616,260.70%,3718,50.1,  4.09 W   
617,308.60%,3754,51.1,  4.86 W   
618,265.60%,4078,51.1,  4.16 W   
619,223.40%,4124,51.6,  3.52 W   
620,383.20%,1772,51.1,  6.10 W   
621,379.10%,1769,50.1,  6.03 W   
622,291.80%,1768,50.6,  4.65 W   
623,213.80%,1771,50.6,  3.36 W   
624,204.50%,1770,50.6,  3.21 W   
625,311.40%,1768,51.1,  4.94 W   
626,262.30%,1770,51.1,  4.22 W   
627,194.20%,1770,50.6,  3.11 W   
628,248.40%,1769,51.1,  3.91 W   
629,298.20%,1769,50.6,  4.67 W   
630,281.10%,1770,50.6,  4.41 W   
631,253.60%,1770,51.6,  4.05 W   
632,265.10%,1835,51.1,  4.31 W   
633,307.20%,1878,50.1,  4.85 W   
634,319.80%,2144,50.6,  5.04 W   
635,295.00%,2186,50.6,  4.63 W   
636,220.00%,2515,50.6,  3.46 W   
